size,time
1,2.1457672119140625e-06
14851,12.458509922027588
6661,2.551213026046753
8201,3.900665044784546
11,1.5974044799804688e-05
11281,7.227864980697632
1051,0.06384897232055664
31,7.915496826171875e-05
45601,116.00462913513184
37411,78.01300692558289
551,0.0172579288482666
15401,13.325646877288818
4651,1.2624211311340332
34861,68.33633780479431
2101,0.2451457977294922
10811,6.682966232299805
61,0.0002560615539550781
19531,21.432765007019043
29261,49.056665897369385
24151,33.13153600692749
15961,14.236310005187988
30811,60.470158100128174
22111,27.499135971069336
101,0.0006749629974365234
27751,44.030356884002686
44651,111.18069291114807
10351,6.097477912902832
40051,89.34675288200378
7801,3.484123945236206
32401,58.6931939125061
16531,15.268465042114258
661,0.025406837463378906
151,0.001589059829711914
6301,2.2928590774536133
5281,1.6298871040344238
26281,39.269705057144165
9901,5.594874143600464
1711,0.17286896705627441
1201,0.08275198936462402
3251,0.6055879592895508
43711,106.38767600059509
20161,22.85634994506836
3781,0.8293988704681396
36551,74.49435591697693
2761,0.43931007385253906
211,0.002959012985229492
17111,16.77546215057373
34031,64.28238797187805
7411,3.130446195602417
9461,5.10998797416687
39161,85.53434300422668
22781,29.19189214706421
4351,1.1140201091766357
2311,0.3001060485839844
781,0.03556489944458008
24851,35.678849935531616
281,0.005052089691162109
42781,102.2921040058136
17701,18.12964916229248
5951,2.0326380729675293
20801,24.379137992858887
9031,4.67262601852417
30031,51.68954014778137
1361,0.11535215377807617
28501,46.428324937820435
4961,1.4377870559692383
361,0.007956981658935547
1901,0.20621395111083984
31601,56.14996099472046
35701,71.31573295593262
7031,2.8344950675964355
18301,18.929723978042603
48511,131.1460041999817
27011,41.5750789642334
41861,97.77373814582825
38281,81.72180199623108
911,0.04803109169006348
8611,4.217931032180786
23461,31.027010917663574
47531,126.54739880561829
3511,0.70271897315979
3001,0.5142340660095215
33211,61.25560212135315
451,0.011480093002319336
21451,25.941613912582397
13261,9.987574100494385
12751,9.178597927093506
13781,10.689981937408447
25561,37.75876307487488
12251,8.4931960105896
4061,0.9454710483551025
18911,20.144230842590332
46561,121.20982599258423
2531,0.36928796768188477
14311,11.734326839447021
5611,1.8551161289215088
11761,7.848965883255005
40951,94.11045718193054
1531,0.14201998710632324
